Date,BRAND,SKU,Actual Price,Recommended Price,Difference
25-01-2015,MILLER LITE,6 Pk 12 Oz Glass,10.99,10.99,0
25-01-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.99,0.5
25-01-2015,MILLER LITE,12 Pk 12 Oz Can,14.49,14.49,0
25-01-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.93,13.99,0.06
25-01-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,9.99,1
25-01-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.4,13.49,0.09
25-01-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.49,0
25-01-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.49,12.49,1
25-01-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,12.49,1
25-01-2015,BUDWEISER,6 Pk 12 Oz Glass,10.43,9.49,0.94
25-01-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99,9.99,1
25-01-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49,11.99,0.5
25-01-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.43,11.99,0.56
01-02-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13,13.99,0.99
01-02-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.45,12.99,0.54
01-02-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,12.99,0.5
01-02-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,13.99,0.59
01-02-2015,CORONA LIGHT,6 Pk 12 Oz Glass,13.99,12.49,1.5
01-02-2015,BECKS,6 Pk 12 Oz Glass,11.49,11.99,0.5
01-02-2015,MILLER LITE,6 Pk 12 Oz Glass,10,10.49,0.49
01-02-2015,MILLER LITE,12 Pk 12 Oz Glass,14,14.99,0.99
01-02-2015,MILLER LITE,12 Pk 12 Oz Can,14,14.99,0.99
01-02-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49,13.49,0
01-02-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49,10.49,0
01-02-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,13.99,1.5
01-02-2015,MAGIC HAT,6 Pk 12 Oz Glass,10.49,12.99,2.5
01-02-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.92,12.99,0.07
01-02-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13,12.49,0.51
01-02-2015,BUDWEISER,6 Pk 12 Oz Glass,10.45,10.99,0.54
01-02-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.49,9.99,0.5
01-02-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10,11.49,1.49
01-02-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,10.49,2
08-02-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
08-02-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99,13.99,0
08-02-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.99,0.04
08-02-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.49,13.49,1
08-02-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.53,12.49,1.04
08-02-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99,12.99,0
08-02-2015,BECKS,6 Pk 12 Oz Glass,11.99,11.99,0
08-02-2015,MILLER LITE,6 Pk 12 Oz Glass,11.099,10.99,0.109
08-02-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.99,0.5
08-02-2015,MILLER LITE,12 Pk 12 Oz Can,14.49,14.99,0.5
08-02-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.93,13.49,0.44
08-02-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,10.49,0.5
08-02-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49,13.49,0
08-02-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.49,0
08-02-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.49,12.99,0.5
08-02-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.49,0
08-02-2015,BUDWEISER,6 Pk 12 Oz Glass,10.43,10.49,0.06
08-02-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99,10.99,0
08-02-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49,10.99,0.5
08-02-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.43,11.99,0.56
15-02-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
15-02-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,14.49,13.49,1
15-02-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99,12.49,0.5
15-02-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,13.49,0
15-02-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,12.49,0.91
15-02-2015,CORONA LIGHT,6 Pk 12 Oz Glass,13.99,12.99,1
15-02-2015,BECKS,6 Pk 12 Oz Glass,11.49,11.49,0
15-02-2015,MILLER LITE,12 Pk 12 Oz Can,14.42,14.49,0.07
15-02-2015,MILLER LITE,12 Pk 12 Oz Glass,14.99,14.99,0
15-02-2015,MILLER LITE,6 Pk 12 Oz Glass,11.93,10.99,0.94
15-02-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99,13.99,0
15-02-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49,10.49,0
15-02-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13,13.49,0.49
15-02-2015,MAGIC HAT,6 Pk 12 Oz Glass,2,12.49,10.49
15-02-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.49,12.49,1
15-02-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
15-02-2015,BUDWEISER,6 Pk 12 Oz Glass,10.49,10.49,0
15-02-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99,10.99,0
15-02-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.49,10.99,0.5
15-02-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,11.99,0.5
22-02-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
22-02-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99,13.49,0.5
22-02-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.99,0.04
22-02-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.49,13.99,1.5
22-02-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.53,12.49,1.04
22-02-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99,12.99,0
22-02-2015,BECKS,6 Pk 12 Oz Glass,11.99,10.49,1.5
22-02-2015,MILLER LITE,6 Pk 12 Oz Glass,11.49,10.99,0.5
22-02-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.99,0.5
22-02-2015,MILLER LITE,12 Pk 12 Oz Can,14.49,14.49,0
22-02-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.93,13.99,0.06
22-02-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,10.49,0.5
22-02-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49,13.49,0
22-02-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.49,0
22-02-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.49,11.49,2
22-02-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.49,0
22-02-2015,BUDWEISER,6 Pk 12 Oz Glass,10.43,10.49,0.06
22-02-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99,10.99,0
22-02-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49,11.49,0
22-02-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.43,11.49,0.06
01-03-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
01-03-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99,12.49,1.5
01-03-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.49,0.46
01-03-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,12.49,1
01-03-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,12.99,0.41
01-03-2015,CORONA LIGHT,6 Pk 12 Oz Glass,13.99,12.49,1.5
01-03-2015,BECKS,6 Pk 12 Oz Glass,11.49,11.99,0.5
01-03-2015,MILLER LITE,12 Pk 12 Oz Can,14.99,14.99,0
01-03-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.99,0.5
01-03-2015,MILLER LITE,6 Pk 12 Oz Glass,11.93,10.49,1.44
01-03-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99,13.49,0.5
01-03-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49,10.49,0
01-03-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,13.99,1.5
01-03-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.99,0.5
01-03-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49,12.49,0
01-03-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
01-03-2015,BUDWEISER,6 Pk 12 Oz Glass,10,10.49,0.49
01-03-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.98,10.99,0.01
01-03-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.65,11.99,0.34
01-03-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,11.49,1
08-03-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
08-03-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.49,13.49,0
08-03-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99,12.99,0
08-03-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
08-03-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,13.99,0.59
08-03-2015,CORONA LIGHT,6 Pk 12 Oz Glass,13.99,12.99,1
08-03-2015,BECKS,6 Pk 12 Oz Glass,11.49,11.99,0.5
08-03-2015,MILLER LITE,12 Pk 12 Oz Can,14.99,14.99,0
08-03-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.49,0
08-03-2015,MILLER LITE,6 Pk 12 Oz Glass,11.93,10.99,0.94
08-03-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99,13.99,0
08-03-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,10.49,0.5
08-03-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,13.99,1.5
08-03-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,11.49,1
08-03-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.99,12.99,1
08-03-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.49,0
08-03-2015,BUDWEISER,6 Pk 12 Oz Glass,10,10.99,0.99
08-03-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.98,10.99,0.01
08-03-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.65,10.99,0.66
08-03-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,11.49,1
15-03-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.99,0.5
15-03-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,14,13.99,0.01
15-03-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.49,0.46
15-03-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,12.49,1
15-03-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,13.99,0.59
15-03-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49,12.49,0
15-03-2015,BECKS,6 Pk 12 Oz Glass,11.39,11.49,0.1
15-03-2015,MILLER LITE,6 Pk 12 Oz Glass,10.99,10.99,0
15-03-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,13.49,1
15-03-2015,MILLER LITE,12 Pk 12 Oz Can,14.99,13.99,1
15-03-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,14.99,13.49,1.5
15-03-2015,BUD LIGHT,6 Pk 12 Oz Glass,10,10.99,0.99
15-03-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,12.99,0.5
15-03-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.99,0.5
15-03-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49,12.99,0.5
15-03-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.49,0
15-03-2015,BUDWEISER,6 Pk 12 Oz Glass,10,10.49,0.49
15-03-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.98,10.49,0.49
15-03-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.65,10.99,0.66
15-03-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11,11.99,0.99
22-03-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
22-03-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,14,13.99,0.01
22-03-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,11.49,1.46
22-03-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,13.49,0
22-03-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,13.99,0.59
22-03-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49,12.49,0
22-03-2015,BECKS,6 Pk 12 Oz Glass,11.39,11.49,0.1
22-03-2015,MILLER LITE,12 Pk 12 Oz Can,14.99,14.49,0.5
22-03-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.49,0
22-03-2015,MILLER LITE,6 Pk 12 Oz Glass,10.99,10.49,0.5
22-03-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99,13.99,0
22-03-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,10.99,0
22-03-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,13.49,1
22-03-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.99,0.5
22-03-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49,13.99,1.5
22-03-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
22-03-2015,BUDWEISER,6 Pk 12 Oz Glass,10,10.49,0.49
22-03-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.98,10.99,0.01
22-03-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.65,11.99,0.34
22-03-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,10.49,2
29-03-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.49,0
29-03-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.49,13.99,0.5
29-03-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99,12.99,0
29-03-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
29-03-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,13.49,0.09
29-03-2015,CORONA LIGHT,6 Pk 12 Oz Glass,13.99,12.49,1.5
29-03-2015,BECKS,6 Pk 12 Oz Glass,11.99,10.49,1.5
29-03-2015,MILLER LITE,12 Pk 12 Oz Can,14.49,14.99,0.5
29-03-2015,MILLER LITE,12 Pk 12 Oz Glass,14.99,14.99,0
29-03-2015,MILLER LITE,6 Pk 12 Oz Glass,11.93,10.49,1.44
29-03-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99,13.49,0.5
29-03-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,10.99,0
29-03-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.39,13.99,0.6
29-03-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.49,0
29-03-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.99,13.99,0
29-03-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.49,0
29-03-2015,BUDWEISER,6 Pk 12 Oz Glass,10,10.49,0.49
29-03-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99,10.49,0.5
29-03-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99,11.99,0
29-03-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,11.49,1
05-04-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,12.99,0.5
05-04-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,14.99,12.99,2
05-04-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.99,0.04
05-04-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.43,12.49,0.94
05-04-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.53,12.99,0.54
05-04-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99,12.99,0
05-04-2015,BECKS,6 Pk 12 Oz Glass,11.99,11.99,0
05-04-2015,MILLER LITE,6 Pk 12 Oz Glass,10.99,10.49,0.5
05-04-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.99,0.5
05-04-2015,MILLER LITE,12 Pk 12 Oz Can,14.49,13.49,1
05-04-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.93,13.49,0.44
05-04-2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99,10.99,0
05-04-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.4,13.99,0.59
05-04-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.49,0
05-04-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.49,13.99,0.5
05-04-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,12.99,0.5
05-04-2015,BUDWEISER,6 Pk 12 Oz Glass,10.45,10.49,0.04
05-04-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99,9.99,1
05-04-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49,11.99,0.5
05-04-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.43,11.49,0.06
12-04-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,11.99,1.5
12-04-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,14,13.99,0.01
12-04-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.99,0.04
12-04-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
12-04-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,12.49,0.91
12-04-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49,11.49,1
12-04-2015,BECKS,6 Pk 12 Oz Glass,11.39,11.99,0.6
12-04-2015,MILLER LITE,6 Pk 12 Oz Glass,10.99,10.99,0
12-04-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.49,0
12-04-2015,MILLER LITE,12 Pk 12 Oz Can,14.99,14.99,0
12-04-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99,13.49,0.5
12-04-2015,BUD LIGHT,6 Pk 12 Oz Glass,10,10.99,0.99
12-04-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,13.99,1.5
12-04-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,11.49,1
12-04-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49,12.99,0.5
12-04-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.49,0
12-04-2015,BUDWEISER,6 Pk 12 Oz Glass,10,10.99,0.99
12-04-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.98,10.99,0.01
12-04-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.65,11.49,0.16
12-04-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,11.49,1
19-04-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.99,0.5
19-04-2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,14,13.99,0.01
19-04-2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.95,12.49,0.46
19-04-2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49,12.49,1
19-04-2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.4,11.49,1.91
19-04-2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49,12.49,0
19-04-2015,BECKS,6 Pk 12 Oz Glass,11.39,11.49,0.1
19-04-2015,MILLER LITE,6 Pk 12 Oz Glass,10.99,10.49,0.5
19-04-2015,MILLER LITE,12 Pk 12 Oz Glass,14.49,14.49,0
19-04-2015,MILLER LITE,12 Pk 12 Oz Can,14.99,14.49,0.5
19-04-2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99,13.49,0.5
19-04-2015,BUD LIGHT,6 Pk 12 Oz Glass,10,10.49,0.49
19-04-2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.49,13.49,1
19-04-2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49,12.49,0
19-04-2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49,12.49,0
19-04-2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49,13.99,0.5
19-04-2015,BUDWEISER,6 Pk 12 Oz Glass,10,9.99,0.01
19-04-2015,COORS LIGHT,6 Pk 12 Oz Glass,10.98,10.49,0.49
19-04-2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.65,11.49,0.16
19-04-2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,12.49,11.99,0.5
26-04-2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49,13.99,0.5
